RFQ_MASTER_ID,PRODUCT_FAMILY,RECEIVE_DATE,RFQ_STATUS,EST_PROD_REVENUE,EST_SALES_QTY,EST_PROD_COST,DB_YEAR,DB_DATE,SI_DATE,PV_DATE,RTM_DATE,FCS_DATE,LIFE_CYCLE,END_YEAR,END_DATE,LOST_REASON_CODE,LOST_REASON_DESC,YLY_SHIPMENT_ONLY,REMARK,EDITOR,CDT,UDT
5,Anole 1.0G9,00:00.0,Award,6249600000,560000,6223195440,2021,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,18,2021,00:00.0,,,NULL,,IEC000411,19:46.0,38:16.3
6,Arclight 1.0 G9,00:00.0,Award,1553472000,116000,1548552672,2021,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,18,2021,00:00.0,,,NULL,,IEC000411,19:46.1,41:45.7
7,Anole 2.0G10,00:00.0,Award,1288980000,140000,1282378860,2021,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,18,2021,00:00.0,,,NULL,,IEC000411,19:46.2,40:02.4
8,Arclight 2.0G10,00:00.0,Award,1992060000,204000,1983408768,2021,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,18,2021,00:00.0,,,NULL,,IEC000411,19:46.3,42:46.8
9,Zonin 31,00:00.0,Award,4185000000,150000,4130343900,2020,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,18,2020,00:00.0,,,NULL,,IEC000411,19:46.4,43:53.4
30,2022-EMS,00:00.0,Award,16844625000,690000,16517358000,2021,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,12,2020,00:00.0,,,,,IEC940917,59:11.6,22:29.7
31,2022-Strix,00:00.0,Award,20966850000,900000,20514870000,2021,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,12,2020,00:00.0,,,,,IEC940917,23:55.9,28:49.0
34,Ashmore,00:00.0,Award,19736362629,3075637,20169704504,2019,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,36,2017,00:00.0,,,NULL,,IEC000411,53:01.0,54:12.6
35,Hedwig,00:00.0,Award,33065125884,4232607,33661479047,2019,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,43,2017,00:00.0,,,NULL,,IEC000411,53:01.1,55:30.6
36,Eunice,00:00.0,Award,13165661250,1348250,13285280687,2020,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,34,2020,00:00.0,,,NULL,,IEC000411,53:01.2,54:48.6
37,Vlad,00:00.0,Award,28815700320,2582052,29179498537,2020,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,34,2020,00:00.0,,,NULL,,IEC000411,53:01.2,57:20.6
38,Hokie,00:00.0,Award,8662950000,1350000,8818883100,2022,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,15,2021,00:00.0,,,NULL,,IEC000411,53:01.3,56:19.5
39,Rameses,00:00.0,Award,12889800000,1650000,13080384900,2022,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,15,2021,00:00.0,,,NULL,,IEC000411,53:01.4,56:37.2
42,Aloe 1.0,00:00.0,Award,12127887828,1552469,12200655155,2019,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,33,2019,00:00.0,,,NULL,,IEC000411,53:45.4,59:53.6
43,BIGBEN24A,00:00.0,Award,663517102.5,49035,669003089.3,2019,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,27,2019,00:00.0,,,NULL,,IEC000411,53:45.5,06:17.7
44,BIGBEN27A,00:00.0,Award,239046642,12508,240446024.5,2019,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,27,2019,00:00.0,,,NULL,,IEC000411,53:45.6,06:57.7
45,Aloe 2.0,00:00.0,Award,3237074064,236784,3248172604,2019,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,31,2019,00:00.0,,,NULL,,IEC000411,58:30.7,00:10.7
46,Anthem,00:00.0,Award,1944300780,232294,1931922065,2020,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,27,2020,00:00.0,,,NULL,,IEC000411,17:21.9,16:36.7
47,BIGBEN24I,00:00.0,Award,3316830120,198138,3338997601,2019,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,30,2019,00:00.0,,,NULL,,IEC000411,19:17.0,19:53.3
48,BIGBEN27I,00:00.0,Award,4174782462,223334,4199768847,2019,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,30,2019,00:00.0,,,NULL,,IEC000411,19:17.1,20:17.9
49,Hook,00:00.0,Award,8046862200,8100000,7967793600,2017,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,54,2018,00:00.0,,,,,IEC050159,26:30.5,58:46.5
50,Hook 2.0,00:00.0,Award,9277140600,2900000,8955927900,2021,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,36,2020,00:00.0,,,NULL,,iec050159,28:46.9,47:50.8
51,Magneta,00:00.0,Award,17032950000,330000,16787951730,2021,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,18,2021,00:00.0,,,NULL,,iec050159,29:38.3,49:07.5
52,Medusa,00:00.0,Award,10323000000,200000,10123794000,2022,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,18,2022,00:00.0,,,NULL,,iec050159,29:55.3,49:41.5
