ID	RFQ_MASTER_ID	ACTION_NAME	PRODUCT_FAMILY	OLD_PRODUCT_FAMILY	RECEIVE_DATE	RFQ_STATUS	EST_PROD_REVENUE	EST_SALES_QTY	EST_PROD_COST	DB_YEAR	DB_DATE	SI_DATE	PV_DATE	RTM_DATE	FCS_DATE	LIFE_CYCLE	END_YEAR	END_DATE	LOST_REASON_CODE	LOST_REASON_DESC	YLY_SHIPMENT_ONLY	REMARK	EDITOR	CDT
1	1	Add	PAF2	PAF2	2021-01-10 00:00:00.000	On-going	110.00	100	50.00	2021	2021-02-01 00:00:00.000	2021-04-01 00:00:00.000	2021-06-01 00:00:00.000	2021-08-01 00:00:00.000	2021-12-01 00:00:00.000	15	NULL	NULL			NULL		admin	2022-06-29 09:09:20.880
2	2	Add	PAF2	PAF2	2021-01-01 00:00:00.000	On-going	500000.00	500000	100.00	2021	2021-03-01 00:00:00.000	2021-05-01 00:00:00.000	2021-07-01 00:00:00.000	2021-10-01 00:00:00.000	2021-12-01 00:00:00.000	15	NULL	NULL			NULL		iec960923	2022-06-29 22:45:45.180
3	3	Add	PAF2	PAF2	2021-01-10 00:00:00.000	On-going	500000.00	500000	1000.00	2021	2021-03-01 00:00:00.000	2021-05-01 00:00:00.000	2021-07-01 00:00:00.000	2021-09-01 00:00:00.000	2021-12-01 00:00:00.000	15	NULL	NULL			NULL		iec960923	2022-06-29 22:47:12.470
4	3	Modify	PAF2	PAF2	2021-01-10 00:00:00.000	On-going	500000.00	500000	1000.00	2021	2021-03-01 00:00:00.000	2021-05-01 00:00:00.000	2021-07-01 00:00:00.000	2021-09-01 00:00:00.000	2021-12-31 00:00:00.000	15	NULL	NULL			NULL		iec960923	2022-06-29 22:47:40.730
5	3	Modify	PAF2	PAF2	2021-01-10 00:00:00.000	On-going	500000.00	500000	1000.00	2021	2021-03-01 00:00:00.000	2021-05-01 00:00:00.000	2021-07-01 00:00:00.000	2021-09-15 00:00:00.000	2021-12-31 00:00:00.000	15	NULL	NULL			NULL		iec960923	2022-06-29 22:50:21.763
6	4	Add	LOCKHEED13	LOCKHEED13	2021-08-10 00:00:00.000	On-going	50.00	300000	20.00	2021	2021-09-22 00:00:00.000	2021-10-24 00:00:00.000	2022-01-25 00:00:00.000	2022-02-06 00:00:00.000	2022-03-21 00:00:00.000	12	NULL	NULL			NULL		iec880176	2022-07-05 14:45:25.780
7	4	Modify	LOCKHEED13	LOCKHEED13	2021-08-10 00:00:00.000	On-going	50.00	300000	20.00	2021	2021-09-22 00:00:00.000	2021-10-24 00:00:00.000	2022-01-25 00:00:00.000	2022-02-06 00:00:00.000	2022-03-21 00:00:00.000	15	NULL	NULL			NULL		iec880176	2022-07-05 14:46:34.033
8	4	Modify	LOCKHEED13	LOCKHEED13	2021-08-10 00:00:00.000	On-going	50.00	300000	20.00	2021	2021-09-22 00:00:00.000	2021-10-24 00:00:00.000	2022-01-25 00:00:00.000	2022-02-06 00:00:00.000	2022-03-21 00:00:00.000	18	NULL	NULL			NULL		iec880176	2022-07-05 15:00:38.950
9	4	Modify	LOCKHEED13	LOCKHEED13	2021-08-10 00:00:00.000	On-going	50.00	300000	20.00	2021	2021-09-22 00:00:00.000	2021-10-24 00:00:00.000	2022-01-25 00:00:00.000	2022-02-06 00:00:00.000	2022-03-21 00:00:00.000	20	NULL	NULL			NULL		iec880176	2022-07-05 16:13:12.507
10	5	Add	Anole 1.0G9	Anole 1.0G9	2020-12-06 00:00:00.000	On-going	6249.60	560	6233.19	2021	2021-02-18 00:00:00.000	2021-06-25 00:00:00.000	2021-08-23 00:00:00.000	2021-11-15 00:00:00.000	2022-01-01 00:00:00.000	18	NULL	NULL			NULL		IEC000411	2022-07-05 18:19:46.070
11	6	Add	Arclight 1.0 G9	Arclight 1.0 G9	2020-12-06 00:00:00.000	On-going	1553.47	116	1543.83	2021	2021-02-18 00:00:00.000	2021-06-25 00:00:00.000	2021-08-23 00:00:00.000	2021-11-15 00:00:00.000	2022-01-01 00:00:00.000	18	NULL	NULL			NULL		IEC000411	2022-07-05 18:19:46.163
12	7	Add	Anole 2.0G10	Anole 2.0G10	2020-12-06 00:00:00.000	On-going	1288.98	140	1284.61	2021	2021-07-17 00:00:00.000	2021-09-17 00:00:00.000	2021-12-06 00:00:00.000	2022-04-06 00:00:00.000	2022-05-06 00:00:00.000	18	NULL	NULL			NULL		IEC000411	2022-07-05 18:19:46.253
13	8	Add	Arclight 2.0G10	Arclight 2.0G10	2020-12-06 00:00:00.000	On-going	1992.06	204	1969.24	2021	2021-07-17 00:00:00.000	2021-09-17 00:00:00.000	2021-12-06 00:00:00.000	2022-04-06 00:00:00.000	2022-05-06 00:00:00.000	18	NULL	NULL			NULL		IEC000411	2022-07-05 18:19:46.337
14	9	Add	Zonin 31	Zonin 31	2020-08-24 00:00:00.000	On-going	4185.00	150	4130.60	2020	2020-12-09 00:00:00.000	2021-06-04 00:00:00.000	2021-08-19 00:00:00.000	2021-12-03 00:00:00.000	2022-01-07 00:00:00.000	18	NULL	NULL			NULL		IEC000411	2022-07-05 18:19:46.423
15	10	Add	MAGNETA	MAGNETA	2020-03-10 00:00:00.000	On-going	19077.00	330	18832.00	2021	2021-05-22 00:00:00.000	2021-07-19 00:00:00.000	2021-11-22 00:00:00.000	2022-03-02 00:00:00.000	2022-04-01 00:00:00.000	18	NULL	NULL			NULL		iec050159	2022-07-06 10:56:45.287
16	11	Add	STARFOX	STARFOX	2020-12-16 00:00:00.000	On-going	13733.00	460	13641.00	2021	2021-04-09 00:00:00.000	2021-06-09 00:00:00.000	2021-10-28 00:00:00.000	2022-03-04 00:00:00.000	2022-04-07 00:00:00.000	18	NULL	NULL			NULL		iec050159	2022-07-06 10:57:02.180
17	12	Add	WARPATH14	WARPATH14	2020-11-21 00:00:00.000	On-going	57376.00	2569	57035.00	2021	2021-03-12 00:00:00.000	2021-05-28 00:00:00.000	2021-10-29 00:00:00.000	2022-02-21 00:00:00.000	2022-03-31 00:00:00.000	18	NULL	NULL			NULL		iec050159	2022-07-06 10:57:44.373
18	12	Modify	WARPATH14	WARPATH14	2020-11-21 00:00:00.000	Award	57376.00	2569	57035.00	2021	2021-03-12 00:00:00.000	2021-05-28 00:00:00.000	2021-10-29 00:00:00.000	2022-02-21 00:00:00.000	2022-03-31 00:00:00.000	18	2021	2021-01-19 00:00:00.000			NULL		iec050159	2022-07-06 11:02:13.963
19	11	Modify	STARFOX	STARFOX	2020-12-16 00:00:00.000	Award	13733.00	460	13641.00	2021	2021-04-09 00:00:00.000	2021-06-09 00:00:00.000	2021-10-28 00:00:00.000	2022-03-04 00:00:00.000	2022-04-07 00:00:00.000	18	2021	2021-02-24 00:00:00.000			NULL		iec050159	2022-07-06 11:33:15.500
20	10	Modify	MAGNETA	MAGNETA	2020-03-10 00:00:00.000	Award	19077.00	330	18832.00	2021	2021-05-22 00:00:00.000	2021-07-19 00:00:00.000	2021-11-22 00:00:00.000	2022-03-02 00:00:00.000	2022-04-01 00:00:00.000	18	2020	2020-03-25 00:00:00.000			NULL		iec050159	2022-07-06 11:33:39.353
21	3	Modify	PAF2	PAF2	2021-01-10 00:00:00.000	On-going	500000.99	500000	1000.00	2021	2021-03-01 00:00:00.000	2021-05-01 00:00:00.000	2021-07-01 00:00:00.000	2021-09-15 00:00:00.000	2021-12-31 00:00:00.000	15	NULL	NULL			NULL		admin	2022-07-06 13:24:34.233
22	13	Add	Ultron	Ultron	2021-05-20 00:00:00.000	On-going	2042.00	61	2011.00	2021	2021-07-26 00:00:00.000	2021-10-16 00:00:00.000	2022-03-08 00:00:00.000	2022-06-10 00:00:00.000	2022-07-26 00:00:00.000	18	NULL	NULL			NULL		iec050159	2022-07-06 13:39:22.407
23	13	Modify	Ultron	Ultron	2021-05-20 00:00:00.000	Award	2042.00	61	2011.00	2021	2021-07-26 00:00:00.000	2021-10-16 00:00:00.000	2022-03-08 00:00:00.000	2022-06-10 00:00:00.000	2022-07-26 00:00:00.000	18	2021	2021-05-28 00:00:00.000			NULL		iec050159	2022-07-06 13:39:56.250
24	14	Add	WARPATH13	WARPATH13	2020-11-21 00:00:00.000	On-going	20035.00	915	19956.00	2021	2021-03-12 00:00:00.000	2021-05-28 00:00:00.000	2021-10-29 00:00:00.000	2022-02-21 00:00:00.000	2022-03-31 00:00:00.000	18	NULL	NULL			NULL		iec050159	2022-07-06 13:40:34.450
25	15	Add	WARPATH16	WARPATH16	2020-11-21 00:00:00.000	On-going	14245.00	596	14168.00	2021	2021-03-12 00:00:00.000	2021-05-28 00:00:00.000	2021-10-29 00:00:00.000	2022-02-21 00:00:00.000	2022-03-31 00:00:00.000	18	NULL	NULL			NULL		iec050159	2022-07-06 13:40:48.727
